postcode,name,longitude,latitude
"DA3","Fawkham Green, Kent",51.385,0.31
"DA4","Eynsford, Kent",51.391,0.233
"DA5","Coldblow, Greater London",51.44,0.146
"DA6","Bexleyheath, Greater London",51.455,0.14
"DA7","",51.466,0.147
"DA8","Erith, Greater London",51.475,0.178
"DA9","Greenhithe, Kent",51.447,0.28
"DD1","Dundee, Dundee City",56.461,-2.977
"DD10","Allardice, Aberdeenshire",56.747,-2.427
"DD11","Arbirlot, Angus",56.573,-2.598
"DD2","Benvie, Dundee City",56.47,-3.027
"DD3","Auchterhouse, Angus",56.482,-2.988
"DD4","Balgray, Angus",56.482,-2.935
"DD5","Affleck, Angus",56.478,-2.862
"DD6","Balmerino, Fife",56.437,-2.925
"DD7","Barry, Angus",56.503,-2.718
"DD76AA","Barry, Angus",56.5026,-2.7117
"DD76AB","Barry, Angus",56.5037,-2.7113
"DD76AD","Barry, Angus",56.5008,-2.7114
"DD76AE","Barry, Angus",56.5012,-2.7114
"DD76AF","Barry, Angus",56.5005,-2.7104
"DD76AG","Barry, Angus",56.5011,-2.7101
"DD76AH","Barry, Angus",56.5015,-2.7099
"DD76AJ","Barry, Angus",56.5007,-2.709
"DD76AL","Barry, Angus",56.5017,-2.7091
"DD76AN","Barry, Angus",56.5015,-2.708
"DD76AP","Barry, Angus",56.5016,-2.7087
"DD76AQ","Barry, Angus",56.5021,-2.7083
"DD76AR","Barry, Angus",56.5012,-2.7067
"DD76AS","Barry, Angus",56.5014,-2.7041
"DD76AT","Barry, Angus",56.5015,-2.7052
"DD76AU","Barry, Angus",56.502,-2.6998
"DD76AW","Barry, Angus",56.5021,-2.701
"DD76AX","Barry, Angus",56.5011,-2.7024
"DD76AY","Barry, Angus",56.5013,-2.6997
"DD76AZ","Barry, Angus",56.502,-2.699
"DD76BA","Barry, Angus",56.5015,-2.6989
"DD76BB","Barry, Angus",56.5018,-2.6975
"DD76BD","Barry, Angus",56.5024,-2.6975
"DD76BE","Barry, Angus",56.5026,-2.6965
"DD76BG","Barry, Angus",56.5036,-2.6951
"DD76BH","Barry, Angus",56.5036,-2.6963
"DD76BJ","Barry, Angus",56.5038,-2.6969
"DD76BL","Barry, Angus",56.5028,-2.6985
"DD76BN","Barry, Angus",56.5024,-2.7013
"DD76BP","Barry, Angus",56.5024,-2.7
"DD76BQ","Barry, Angus",56.5038,-2.6979
"DD76BR","Barry, Angus",56.5032,-2.6988
"DD76BS","Barry, Angus",56.5038,-2.6994
"DD76BT","Barry, Angus",56.503,-2.7017
"DD76BU","Barry, Angus",56.504,-2.7028
"DD76BW","Barry, Angus",56.5034,-2.7026
"DD76BX","Barry, Angus",56.5027,-2.7019
"DD76BY","Barry, Angus",56.5023,-2.7019
"DD76BZ","Barry, Angus",56.503,-2.703
"DD76DA","Barry, Angus",56.5037,-2.7037
"DD76DB","Barry, Angus",56.5035,-2.7048
"DD76DD","Barry, Angus",56.5018,-2.7052
"DD76DE","Barry, Angus",56.5023,-2.7043
"DD76DF","Barry, Angus",56.5022,-2.7072
"DD76DG","Barry, Angus",56.5027,-2.7045
"DD76DH","Barry, Angus",56.5031,-2.7054
"DD76DJ","Barry, Angus",56.5029,-2.706
"DD76DL","Barry, Angus",56.5049,-2.6997
"DD76DN","Barry, Angus",56.5041,-2.7012
"DD76DP","Barry, Angus",56.5063,-2.6996
"DD76DQ","Barry, Angus",56.507,-2.7059
"DD76DR","Barry, Angus",56.5051,-2.7025
"DD76DS","Barry, Angus",56.5067,-2.7026
"DD76DT","Barry, Angus",56.5077,-2.6998
"DD76DU","Barry, Angus",56.5047,-2.7039
"DD76DW","Barry, Angus",56.5046,-2.6994
"DD76DX","Barry, Angus",56.5086,-2.7016
"DD76DY","Barry, Angus",56.5096,-2.7035
"DD76DZ","Barry, Angus",56.5036,-2.7027
"DD76EA","Barry, Angus",56.504,-2.6949
"DD76EB","Barry, Angus",56.5019,-2.7119
"DD76ED","Barry, Angus",56.5021,-2.7104
"DD76EE","Barry, Angus",56.5029,-2.7093
"DD76EF","Barry, Angus",56.5026,-2.7101
"DD76EG","Barry, Angus",56.5038,-2.71
"DD76EH","Barry, Angus",56.5041,-2.7076
"DD76EJ","Barry, Angus",56.5031,-2.7068
"DD76EL","Barry, Angus",56.5038,-2.7057
"DD76EN","Barry, Angus",56.504,-2.7052
"DD76EP","Barry, Angus",56.5042,-2.7043
"DD76EQ","Barry, Angus",56.5046,-2.7043
"DD76ER","Barry, Angus",56.5048,-2.7051
"DD76ES","Barry, Angus",56.5047,-2.706
"DD76ET","Barry, Angus",56.5045,-2.7065
"DD76EU","Barry, Angus",56.5057,-2.7052
"DD76EW","Barry, Angus",56.506,-2.7066
"DD76EX","Barry, Angus",56.5078,-2.7086
"DD76EY","Barry, Angus",56.5077,-2.7094
"DD76FR","Barry, Angus",56.5015,-2.7068
"DD76GP","Barry, Angus",56.5052,-2.7182
"DD76GQ","Barry, Angus",56.5081,-2.7141
"DD76GR","Barry, Angus",56.5052,-2.7182
"DD76GS","Barry, Angus",56.508,-2.715
"DD76GU","Barry, Angus",56.5074,-2.7169
"DD76GX","Barry, Angus",56.5073,-2.7159
"DD76GZ","Barry, Angus",56.5071,-2.716
"DD76HA","Barry, Angus",56.5057,-2.707
"DD76HB","Barry, Angus",56.5047,-2.7075
"DD76HD","Barry, Angus",56.5054,-2.7076
"DD76HE","Barry, Angus",56.5046,-2.7091
"DD76HF","Barry, Angus",56.5044,-2.711
"DD76HG","Barry, Angus",56.5044,-2.7115
"DD76HH","Barry, Angus",56.5044,-2.7129
"DD76HJ","Barry, Angus",56.5048,-2.7138
"DD76HL","Barry, Angus",56.5059,-2.7133
"DD76HN","Barry, Angus",56.5057,-2.7136
"DD76HP","Barry, Angus",56.5055,-2.7141
"DD76HQ","Barry, Angus",56.5072,-2.7135
"DD76HR","Barry, Angus",56.5063,-2.7168
"DD76HS","Barry, Angus",56.5096,-2.7084
"DD76HT","Barry, Angus",56.5091,-2.7077
"DD76HU","Barry, Angus",56.5083,-2.7075
"DD76HW","Barry, Angus",56.5073,-2.7104
"DD76HX","Barry, Angus",56.5087,-2.7066
"DD76HY","Barry, Angus",56.5099,-2.7051
"DD76HZ","Barry, Angus",56.506,-2.7084
"DD76JA","Barry, Angus",56.5061,-2.7105
"DD76JB","Barry, Angus",56.5072,-2.7116
"DD76JD","Barry, Angus",56.5067,-2.7125
"DD76JG","Barry, Angus",56.5105,-2.7023
"DD76JJ","Barry, Angus",56.5108,-2.7044
"DD76JL","Barry, Angus",56.5105,-2.7048
"DD76JN","Barry, Angus",56.5102,-2.7016
"DD76JP","Barry, Angus",56.5126,-2.6972
"DD76JQ","Barry, Angus",56.5134,-2.6867
"DD76JR","Barry, Angus",56.5073,-2.6877
"DD76JS","Barry, Angus",56.5056,-2.695
"DD76JX","Barry, Angus",56.5265,-2.7117
"DD76JY","Barry, Angus",56.5048,-2.6962
"DD76JZ","Barry, Angus",56.5055,-2.698
"DD76LA","Barry, Angus",56.5098,-2.7266
"DD76LB","Barry, Angus",56.5222,-2.7393
"DD76LD","Barry, Angus",56.5135,-2.718
"DD76LE","Barry, Angus",56.5254,-2.7118
"DD76LG","Barry, Angus",56.5212,-2.7023
"DD76LH","Barry, Angus",56.531,-2.7034
"DD76LL","Barry, Angus",56.5217,-2.6812
"DD76LN","Barry, Angus",56.516,-2.668
"DD76LP","Barry, Angus",56.526,-2.668
"DD76LQ","Barry, Angus",56.5136,-2.6683
"DD76LR","Barry, Angus",56.5171,-2.6688
"DD76LS","Barry, Angus",56.5172,-2.6661
"DD76LT","Barry, Angus",56.5173,-2.6642
"DD76LU","Barry, Angus",56.5357,-2.7287
"DD76LW","Barry, Angus",56.5326,-2.7614
"DD76LX","Barry, Angus",56.5244,-2.765
"DD76LY","Barry, Angus",56.5156,-2.7518
"DD76LZ","Barry, Angus",56.5168,-2.6679
"DD76PA","Barry, Angus",56.5029,-2.7037
"DD76WX","Barry, Angus",56.503,-2.7193
"DD76YB","Barry, Angus",56.503,-2.7193
"DD76YG","Barry, Angus",56.503,-2.7193
"DD76YL","Barry, Angus",56.5106,-2.7259
"DD76YP","Barry, Angus",56.503,-2.7193
"DD76YQ","Barry, Angus",56.503,-2.7193
"DD76YR","Barry, Angus",56.503,-2.7193
"DD8","Aberlemno, Angus",56.656,-2.922
"DD9","Arnhall, Aberdeenshire",56.748,-2.667
"DE1","Derby, Derby",52.92,-1.475
"DE11","Blackfordby, Leicestershire",52.773,-1.554
"DE12","Appleby Magna, Leicestershire",52.725,-1.553
"DE13","Alrewas, Staffordshire",52.808,-1.688
"DE14","Branston, Staffordshire",52.805,-1.64
"DE15","Bretby, Derbyshire",52.799,-1.608
"DE21","Chaddesden, Derby",52.933,-1.432
"DE22","Allestree, Derby",52.934,-1.496
"DE23","Littleover, Derby",52.901,-1.494
"DE24","Alvaston, Derby",52.89,-1.451
"DE3","Mickleover, Derby",52.909,-1.54
"DE4","Aldwark, Derbyshire",53.127,-1.564
"DE45","Alport, Derbyshire",53.215,-1.676
"DE5","Butterley, Derbyshire",53.045,-1.401
"DE55","Alfreton, Derbyshire",53.101,-1.371
"DE56","Alderwasley, Derbyshire",53.022,-1.474
"DE6","Alkmonton, Derbyshire",52.993,-1.717
"DE65","Burnaston, Derbyshire",52.867,-1.61
"DE7","Breadsall, Derbyshire",52.973,-1.321
"DE72","Aston on Trent, Derbyshire",52.894,-1.359
"DE73","Barrow upon Trent, Derbyshire",52.847,-1.435
"DE74","Castle Donington, Derbyshire",52.844,-1.33
"DE75","Heanor, Derbyshire",53.013,-1.353
"DG1","Ae Village, Dumfries and Galloway",55.073,-3.58
"DG10","Beattock, Dumfries and Galloway",55.32,-3.437
"DG11","Bankshill, Dumfries and Galloway",55.114,-3.336
"DG12","Annan, Dumfries and Galloway",54.99,-3.251
"DG13","Allangillfoot, Dumfries and Galloway",55.173,-3.029
"DG14","Auchenrivock, Dumfries and Galloway",55.081,-2.985
"DG16","Gretna Green, Dumfries and Galloway",54.997,-3.068
"DG2","Allanton, Dumfries and Galloway",55.065,-3.657
"DG3","Auchenbrack, Dumfries and Galloway",55.237,-3.799
"DG4","Carco, Dumfries and Galloway",55.375,-3.952
"DG5","Barnbarroch, Dumfries and Galloway",54.922,-3.81
"DG6","Auchnabony, Dumfries and Galloway",54.837,-4.055
"DG7","Airieland, Dumfries and Galloway",54.968,-4.012
"DG8","Airyhassen, Dumfries and Galloway",54.873,-4.516
"DG9","Airies, Dumfries and Galloway",54.878,-5.021
"DH1","Carrville, County Durham",54.781,-1.566
"DH2","Edmondsley, County Durham",54.86,-1.597
"DH3","Birtley, Tyne and Wear",54.872,-1.567
"DH4","Bournmoor, County Durham",54.854,-1.49
"DH5","Easington Lane, Tyne and Wear",54.824,-1.454
"DH6","Bowburn, County Durham",54.753,-1.464
"DH7","Bearpark, County Durham",54.79,-1.664
"DH8","Allensford, Northumberland",54.856,-1.844
"DH9","Annfield Plain, County Durham",54.868,-1.708
"DL1","Barmpton, Darlington",54.53,-1.536
"DL10","Barton, North Yorkshire",54.414,-1.69
"DL11","Aldbrough St John, North Yorkshire",54.439,-1.875
"DL12","Barnard Castle, County Durham",54.572,-1.985
"DL13","Bedburn, County Durham",54.716,-1.954
"DL14","Bildershaw, County Durham",54.652,-1.69
"DL15","Billy Row, County Durham",54.71,-1.728
"DL16","Byers Green, County Durham",54.699,-1.604
"DL17","Bishop Middleham, County Durham",54.681,-1.54
"DL2","Archdeacon Newton, Darlington",54.529,-1.601
"DL3","Darlington, Darlington",54.532,-1.57
"DL4","Middridge, County Durham",54.63,-1.643
"DL5","Aycliffe, County Durham",54.617,-1.576
"DL6","Appleton Wiske, North Yorkshire",54.371,-1.389
"DL7","Ainderby Steeple, North Yorkshire",54.338,-1.485
"DL8","Agglethorpe, North Yorkshire",54.293,-1.786
"DL9","Catterick Camp, North Yorkshire",54.375,-1.709
"DN1","Doncaster, South Yorkshire",53.522,-1.129
"DN10","Austerfield, South Yorkshire",53.427,-0.943
"DN11","Bircotes, Nottinghamshire",53.451,-1.082
"DN12","Conisbrough, South Yorkshire",53.483,-1.221
"DN14","Adlingfleet, E Riding of Yorkshire",53.708,-0.936
"DN15","Alkborough, North Lincolnshire",53.614,-0.65
"DN16","Ashby, North Lincolnshire",53.568,-0.64
"DN17","Althorpe, North Lincolnshire",53.572,-0.701
"DN18","Barton-upon-Humber, North Lincolnshire",53.68,-0.446
"DN19","Barrow Haven, North Lincolnshire",53.684,-0.359
"DN2","",53.533,-1.102
"DN20","Bonby, North Lincolnshire",53.558,-0.505
"DN21","Blyborough, Lincolnshire",53.419,-0.701
"DN22","Babworth, Nottinghamshire",53.323,-0.927
"DN3","Armthorpe, South Yorkshire",53.546,-1.059
"DN31","West Marsh, North Eart Lincolnshire",53.57,-0.086
"DN32","Grimsby, North Eart Lincolnshire",53.562,-0.069
"DN33","Scartho, North Eart Lincolnshire",53.54,-0.097
"DN34","Armthorpe, South Yorkshire",53.557,-0.112
"DN35","Cleethorpes, North Eart Lincolnshire",53.555,-0.035
"DN36","Eskham, Lincolnshire",53.511,-0.037
"DN37","Ashby cum Fenby, North Eart Lincolnshire",53.541,-0.135
"DN38","Barnetby le Wold, North Lincolnshire",53.561,-0.392
"DN39","Croxton, North Lincolnshire",53.617,-0.334
"DN4","Bessacarr, South Yorkshire",53.506,-1.121
"DN40","East Halton, North Lincolnshire",53.621,-0.224
"DN41","Bessacarr, South Yorkshire",53.583,-0.195
"DN5","Arksey, South Yorkshire",53.537,-1.172
"DN6","Adwick le Street, South Yorkshire",53.596,-1.176
"DN7","Braithwaite, South Yorkshire",53.582,-1.015
"DN8","Moorends, South Yorkshire",53.614,-0.956
"DN9","Auckley, South Yorkshire",53.506,-0.894
"DT1","Dorchester, Dorset",50.711,-2.44
"DT10","Fifehead Neville, Dorset",50.937,-2.333
"DT11","Almer, Dorset",50.86,-2.181
"DT2","Affpuddle, Dorset",50.749,-2.453
"DT3","Abbotsbury, Dorset",50.641,-2.466
"DT4","Charlestown, Dorset",50.609,-2.464
"DT5","Easton, Dorset",50.548,-2.441
"DT6","Bettiscombe, Dorset",50.739,-2.775
"DT7","Dowlands, Devon",50.729,-2.946
"DT8","Beaminster, Dorset",50.816,-2.758
"DT9","Adber, Dorset",50.941,-2.515
"DY1","Dudley, West Midlands",52.516,-2.096
"DY10","Blakedown, Hereford and Worcester",52.386,-2.224
"DY11","Blakebrook, Hereford and Worcester",52.385,-2.261
"DY12","Bewdley, Hereford and Worcester",52.385,-2.329
"DY13","Acton, Hereford and Worcester",52.336,-2.28
"DY14","Baveney Wood, Shropshire",52.38,-2.462
"DY2","Netherton, West Midlands",52.496,-2.08
"DY3","Gornalwood, West Midlands",52.53,-2.128
"DY4","Dudley Port, West Midlands",52.532,-2.053
"DY5","Brierley Hill, West Midlands",52.48,-2.122
"DY6","Kingswinford, West Midlands",52.498,-2.164
"DY7","Bobbington, Staffordshire",52.466,-2.224
"DY8","Amblecote, West Midlands",52.46,-2.154
"DY9","Belbroughton, Hereford and Worcester",52.435,-2.122
"E1","Aldgate East, Greater London",51.517,-0.058
"E10","Lea Bridge, Greater London",51.568,-0.012
"E11","Leytonstone, Greater London",51.568,0.014
"E12","Aldersbrook, Greater London",51.55,0.054
"E13","Newham, Greater London",51.527,0.027
"E14","All Saints, Greater London",51.506,-0.019
"E15","Pudding Mill Lane, Greater London",51.539,0.003
"E16","Canning Town, Greater London",51.511,0.026
"E17","Blackhorse Road, Greater London",51.586,-0.019
"E18","South Woodford, Greater London",51.592,0.027
"E1W","",51.508,-0.058
"E2","Bethnal Green, Greater London",51.529,-0.061
"E3","Bow Church, Greater London",51.528,-0.025
"E4","Chingford Green, Greater London",51.622,-0.003
"E5","Clapton Park, Greater London",51.559,-0.053
"E6","Beckton, Greater London",51.526,0.056
"E7","Forest Gate, Greater London",51.547,0.028
"E8","Dalston Junction, Greater London",51.542,-0.064
"E9","Hackney Wick, Greater London",51.543,-0.043
"EC1","Aldersgate, Greater London",51.523,-0.102
"EC1A","Aldersgate, Greater London",51.52,-0.103
"EC1M","Aldersgate, Greater London",51.521,-0.102
"EC1N","Aldersgate, Greater London",51.52,-0.108
"EC1R","Aldersgate, Greater London",51.524,-0.107
"EC1V","Aldersgate, Greater London",51.526,-0.097
"EC1Y","Aldersgate, Greater London",51.523,-0.093
"EC2","Bank, Greater London",51.52,-0.089
"EC2A","Bank, Greater London",51.523,-0.085
"EC2M","Bank, Greater London",51.518,-0.086
"EC2N","Bank, Greater London",51.516,-0.086
"EC2R","Bank, Greater London",51.517,-0.092
"EC2V","Bank, Greater London",51.516,-0.093
"EC2Y","Bank, Greater London",51.52,-0.096
"EC3","Aldgate, Greater London",51.513,-0.083
"EC3A","Aldgate, Greater London",51.515,-0.081
"EC3M","Aldgate, Greater London",51.512,-0.083
"EC3N","Aldgate, Greater London",51.513,-0.079
"EC3P","Aldgate, Greater London",51.52,-0.101
"EC3R","Tower of London, Greater London",51.512,-0.085
"EC3V","Aldgate, Greater London",51.513,-0.086
"EC4","Blackfriars, Greater London",51.514,-0.101
"EC4A","Blackfriars, Greater London",51.516,-0.107
"EC4M","Blackfriars, Greater London",51.515,-0.1
"EC4N","Blackfriars, Greater London",51.514,-0.093
"EC4R","Blackfriars, Greater London",51.512,-0.091
"EC4V","Blackfriars, Greater London",51.513,-0.1
"EC4Y","Blackfriars, Greater London",51.514,-0.107
"EH1","Edinburgh, City of Edinburgh",55.952,-3.188
"EH10","Fairmilehead, City of Edinburgh",55.92,-3.21
"EH11","Edinburgh, City of Edinburgh",55.934,-3.249
"EH12","Corstorphine, City of Edinburgh",55.943,-3.272
"EH13","Colinton, City of Edinburgh",55.908,-3.241
"EH14","Balerno, City of Edinburgh",55.91,-3.283
"EH15","Duddingston, City of Edinburgh",55.946,-3.111
"EH16","Craigmillar, City of Edinburgh",55.923,-3.153
"EH17","Gilmerton, City of Edinburgh",55.907,-3.142
"EH18","Polton, Midlothian",55.876,-3.121
"EH19","Bonnyrigg, Midlothian",55.873,-3.104
"EH2","Edinburgh, City of Edinburgh",55.954,-3.195
"EH20","Loanhead, Midlothian",55.879,-3.155
"EH21","Inveresk, East Lothian",55.939,-3.045
"EH22","Cousland, Midlothian",55.884,-3.06
"EH23","Arniston Engine, Midlothian",55.839,-3.051
"EH24","Rosewell, Midlothian",55.851,-3.133
"EH25","Bilston, Midlothian",55.858,-3.175
"EH26","Auchendinny, Midlothian",55.833,-3.224
"EH27","Kirknewton, West Lothian",55.89,-3.422
"EH28","Newbridge, City of Edinburgh",55.931,-3.387
"EH29","Kirkliston, City of Edinburgh",55.956,-3.399
"EH3","Edinburgh, City of Edinburgh",55.954,-3.2
"EH30","Abercorn, West Lothian",55.985,-3.384
"EH31","Gullane, East Lothian",56.037,-2.827
"EH32","Aberlady, East Lothian",55.968,-2.948
"EH33","Elphinstone, East Lothian",55.942,-2.944
"EH34","East Saltoun, East Lothian",55.909,-2.88
"EH35","Ormiston, East Lothian",55.911,-2.942
"EH36","Gilchriston, East Lothian",55.856,-2.851
"EH37","Crichton, Midlothian",55.862,-2.96
"EH38","Dewar, Scottish Borders",55.786,-2.96
"EH39","Athelstaneford, East Lothian",56.047,-2.731
"EH4","Blackhall, City of Edinburgh",55.962,-3.258
"EH40","East Linton, East Lothian",55.99,-2.655
"EH41","Bolton, East Lothian",55.948,-2.774
"EH42","Belhaven, East Lothian",55.994,-2.525
"EH43","Walkerburn, Scottish Borders",55.624,-3.01
"EH44","Colquhar, Scottish Borders",55.62,-3.065
"EH45","Cardrona, Scottish Borders",55.655,-3.191
"EH46","Blyth Bridge, Scottish Borders",55.737,-3.35
"EH47","Blackburn, West Lothian",55.86,-3.663
"EH48","Armadale, West Lothian",55.901,-3.664
"EH49","Belsyde, West Lothian",55.976,-3.598
"EH5","Edinburgh, City of Edinburgh",55.975,-3.216
"EH51","",56.011,-3.605
"EH52","Broxburn, West Lothian",55.938,-3.483
"EH53","East Calder, West Lothian",55.894,-3.476
"EH54","Bellsquarry, West Lothian",55.892,-3.523
"EH55","Addiewell, West Lothian",55.848,-3.572
"EH6","Edinburgh, City of Edinburgh",55.971,-3.174
"EH7","Edinburgh, City of Edinburgh",55.961,-3.165
"EH8","Edinburgh, City of Edinburgh",55.949,-3.163
"EH9","Edinburgh, City of Edinburgh",55.933,-3.185
"EN1","Enfield, Greater London",51.653,-0.066
"EN10","Broxbourne, Hertfordshire",51.74,-0.02
"EN11","Hailey, Hertfordshire",51.765,-0.007
"EN2","Botany Bay, Greater London",51.659,-0.091
"EN3","Ponders End, Greater London",51.659,-0.038
"EN4","Cockfosters, Greater London",51.648,-0.16
"EN5","Arkley, Greater London",51.649,-0.195
"EN6","Cuffley, Hertfordshire",51.699,-0.176
"EN7","Churchgate, Hertfordshire",51.71,-0.065
"EN8","Cheshunt, Hertfordshire",51.698,-0.032
"EN9","Broadley Common, Essex",51.695,0.014
"EX1","Pinhoe, Devon",50.726,-3.505
"EX10","Bowd, Devon",50.693,-3.245
"EX11","Alfington, Devon",50.746,-3.288
"EX12","Axmouth, Devon",50.706,-3.081
"EX13","Alston, Devon",50.786,-3.007
"EX14","Awliscombe, Devon",50.813,-3.189
"EX15","Ashill, Devon",50.877,-3.338
"EX16","Ash Thomas, Devon",50.923,-3.491
"EX17","Ash Bullayne, Devon",50.812,-3.702
"EX18","Ashley, Devon",50.901,-3.887
"EX19","Beaford, Devon",50.877,-4.004
"EX2","Alphington, Devon",50.71,-3.517
"EX20","Allerford, Devon",50.75,-4.019
"EX21","Ashwater, Devon",50.805,-4.208
"EX22","Abbots Bickington, Devon",50.828,-4.367
"EX23","Bude, Cornwall",50.824,-4.533
"EX24","Alphington, Devon",50.739,-3.088
"EX3","Clyst St George, Devon",50.686,-3.458
"EX31","Alverdiscott, Devon",51.086,-4.064
"EX32","Benton, Devon",51.071,-4.018
"EX33","Braunton, Devon",51.114,-4.169
"EX34","Berrynarbor, Devon",51.199,-4.103
"EX35","Barbrook, Devon",51.224,-3.828
"EX36","Alswear, Devon",51.016,-3.792
"EX37","Atherington, Devon",50.979,-3.951
"EX38","Frithelstock Stone, Devon",50.943,-4.151
"EX39","Abbotsham, Devon",51.014,-4.246
"EX4","Cowley, Devon",50.73,-3.526
"EX5","Aylesbeare, Devon",50.757,-3.439
"EX6","Bickham House, Devon",50.677,-3.597
"EX7","Ashcombe, Devon",50.592,-3.473
"EX8","Exmouth, Devon",50.629,-3.401
"EX9","Budleigh Salterton, Devon",50.639,-3.323
"FK1","Avonbridge, Falkirk",55.985,-3.793
"FK10","Alloa, Clackmannanshire",56.115,-3.781
"FK11","Menstrie, Clackmannanshire",56.15,-3.85
"FK12","Alva, Clackmannanshire",56.152,-3.8
"FK13","Coalsnaughton, Clackmannanshire",56.151,-3.74
"FK14","Blairingone, Perth and Kinross",56.166,-3.66
"FK15","Ashfield, Stirling",56.203,-3.949
"FK16","Argaty, Stirling",56.191,-4.059
"FK17","Anie, Stirling",56.24,-4.219
"FK18","Ardchullarie More, Stirling",56.325,-4.328
"FK19","Ardveich, Stirling",56.371,-4.313
"FK2","Airth, Falkirk",56.005,-3.754
"FK20","Ardchyle, Stirling",56.406,-4.63
"FK21","Achmore, Stirling",56.466,-4.319
"FK3","Grangemouth, Falkirk",56.011,-3.719
"FK4","Banknock, Falkirk",55.997,-3.906
"FK5","Glenbervie, Falkirk",56.025,-3.818
"FK6","Carron Bridge, Falkirk",56.022,-3.915
"FK7","Bannockburn, Stirling",56.097,-3.917
"FK8","Aberfoyle, Stirling",56.131,-4.051
"FK9","Blair Drummond, Stirling",56.142,-3.94
"FY1","Blackpool, Lancashire",53.815,-3.046
"FY2","Bispham, Lancashire",53.845,-3.039
"FY3","Great Marton, Lancashire",53.821,-3.021
"FY4","Common Edge, Lancashire",53.791,-3.028
"FY5","Burn Naze, Lancashire",53.874,-3.021
"FY6","Carleton, Lancashire",53.868,-2.981
"FY7","Fleetwood, Lancashire",53.916,-3.026
"FY8","Ansdell, Lancashire",53.751,-3.002
"G1","Glasgow, Glasgow City",55.86,-4.247
"G11","Partick, Glasgow City",55.874,-4.312
"G12","Glasgow, Glasgow City",55.88,-4.3
"G13","",55.894,-4.347
"G14","Yoker, Glasgow City",55.881,-4.349
"G15","Drumchapel, Glasgow City",55.91,-4.365
"G2","Glasgow, Glasgow City",55.864,-4.255
"G20","Maryhill, Glasgow City",55.886,-4.282
"G21","Springburn, Glasgow City",55.881,-4.22
"G22","",55.89,-4.251
"G23","",55.902,-4.284
"G3","",55.866,-4.272
"G31","",55.857,-4.208
"G32","Carmyle, Glasgow City",55.849,-4.163
"G33","Stepps, North Lanarkshire",55.873,-4.165
"G34","",55.868,-4.111
"G4","",55.868,-4.252
"G40","",55.848,-4.222
"G41","Glasgow, Glasgow City",55.838,-4.282
"G42","",55.833,-4.256
"G43","Pollokshaws, Glasgow City",55.818,-4.29
"G44","",55.814,-4.255
"G45","Castlemilk, Glasgow City",55.805,-4.231
"G46","Giffnock, East Renfrewshire",55.804,-4.307
"G5","",55.848,-4.252
"G51","Govan, Glasgow City",55.858,-4.314
"G52","",55.848,-4.348
"G53","Nitshill, Glasgow City",55.822,-4.351
"G60","Bowling, West Dunbart",55.922,-4.453
"G61","Bearsden, East Dunbartonshire",55.919,-4.33
"G62","Baldernock, East Dunbartonshire",55.943,-4.32
"G63","Balafark, Stirling",56.042,-4.364
"G64","Balmore, East Dunbartonshire",55.911,-4.217
"G65","Banton, North Lanarkshire",55.973,-4.057
"G66","Auchinloch, North Lanarkshire",55.941,-4.153
"G67","Abronhill, North Lanarkshire",55.947,-3.985
"G68","Balloch, North Lanarkshire",55.953,-4.01
"G69","Chryston, North Lanarkshire",55.874,-4.102
"G71","Bothwell, South Lanarkshire",55.822,-4.073
"G72","Calderglen, South Lanarkshire",55.804,-4.128
"G73","Rutherglen, South Lanarkshire",55.82,-4.206
"G74","East Kilbride, South Lanarkshire",55.769,-4.173
"G76","Busby, East Renfrewshire",55.778,-4.272
"G77","Malletsheugh, East Renfrewshire",55.774,-4.33
"G78","Barrhead, East Renfrewshire",55.793,-4.409
"G81","Clydebank, West Dunbart",55.913,-4.406
"G82","Ardmore, Argyll and Bute",55.952,-4.574
"G83","Aldochlay, Argyll and Bute",56.012,-4.585
"G84","Ardpeaton, Argyll and Bute",56.014,-4.754
"GL1","Gloucester, Gloucestershire",51.86,-2.239
"GL10","Eastington, Gloucestershire",51.743,-2.284
"GL11","Cam, Gloucestershire",51.689,-2.356
"GL12","Alderley, Gloucestershire",51.625,-2.385
"GL13","Berkeley, Gloucestershire",51.693,-2.459
"GL14","Awre, Gloucestershire",51.817,-2.479
"GL15","Alvington, Gloucestershire",51.736,-2.551
"GL16","Berry Hill, Gloucestershire",51.795,-2.611
"GL17","Blaisdon, Gloucestershire",51.856,-2.514
"GL18","",51.941,-2.414
"GL19","Apperley, Gloucestershire",51.943,-2.286
"GL2","Arlingham, Gloucestershire",51.846,-2.267
"GL20","Alderton, Gloucestershire",52.003,-2.13
"GL3","Brockworth, Gloucestershire",51.865,-2.177
"GL4","Barnwood, Gloucestershire",51.842,-2.216
"GL5","Amberley, Gloucestershire",51.738,-2.219
"GL50","Cheltenham, Gloucestershire",51.9,-2.08
"GL51","Badgeworth, Gloucestershire",51.899,-2.107
"GL52","",51.916,-2.058
"GL53","Coberley, Gloucestershire",51.881,-2.067
"GL54","Aldsworth, Gloucestershire",51.897,-1.864
"GL55","Aston Subedge, Gloucestershire",52.061,-1.768
"GL56","Adlestrop, Gloucestershire",51.988,-1.704
"GL6","Barton End, Gloucestershire",51.735,-2.192
"GL7","Ablington, Gloucestershire",51.713,-1.897
"GL8","Ashley, Gloucestershire",51.642,-2.171
